ticker,form,filing_date,ret_21d,ret_21d_spy,ret_21d_excess,status
FAST,10-K,2019-02-06,-0.0014632614863024918,0.006306396368660261,-0.007769657854962753,ok
J,10-Q,2019-02-06,0.05967465047658438,0.006306396368660261,0.05336825410792412,ok
CSX,10-K,2019-02-06,0.0575343222010225,0.006306396368660261,0.05122792583236224,ok
MAS,10-K,2019-02-07,0.1075453481462374,0.030724259781513608,0.07682108836472379,ok
MMM,10-K,2019-02-07,0.04349411669270942,0.030724259781513608,0.01276985691119581,ok
NSC,10-K,2019-02-08,0.04601621194147887,0.03334913519170457,0.012667076749774298,ok
LMT,10-K,2019-02-08,0.008606940074327829,0.03334913519170457,-0.024742195117376742,ok
BA,10-K,2019-02-08,-0.07285566757536721,0.03334913519170457,-0.10620480276707178,ok
CMI,10-K,2019-02-11,0.06708074219222704,0.03961246903840698,0.027468273153820055,ok
TT,10-K,2019-02-12,0.026318624581900263,0.025757303866820624,0.0005613207150796384,ok
RTN,10-K,2019-02-13,,0.027488968725451368,,missing_price
GD,10-K,2019-02-13,-0.021270694942492008,0.027488968725451368,-0.048759663667943376,ok
SNA,10-K,2019-02-14,0.025489539667810757,0.03350649273554174,-0.00801695306773098,ok
HII,10-K,2019-02-14,-0.029182355043717467,0.03350649273554174,-0.0626888477792592,ok
TXT,10-K,2019-02-14,-0.02685040202060507,0.03350649273554174,-0.060356894756146806,ok
CAT,10-K,2019-02-14,0.011159780576911693,0.03350649273554174,-0.022346712158630044,ok
HUBB,10-K,2019-02-15,0.028843614761018266,0.022619693838339616,0.00622392092267865,ok
ALK,10-K,2019-02-15,-0.15395053964840733,0.022619693838339616,-0.17657023348674694,ok
AOS,10-K,2019-02-15,0.009488748223730692,0.022619693838339616,-0.013130945614608924,ok
