ticker,form,filing_date,ret_21d,status
ACN,10-Q,2025-06-20,0.010600927360819856,ok
ACN,10-K,2019-10-29,0.08901516295245893,ok
ACN,10-Q,2022-12-16,0.03601872552600538,ok
ACN,10-K,2024-10-10,-0.015343165939676995,ok
ACN,10-Q,2021-03-18,0.07694868343157135,ok
ACN,10-Q,2019-03-28,0.04334699624208205,ok
ACN,10-Q,2016-06-23,-0.049112997731718844,ok
ADBE,10-Q,2023-06-28,0.09626267675404754,ok
ADBE,10-Q,2022-03-30,-0.13935135784848884,ok
ADBE,10-K,2024-01-17,-0.009495006502839964,ok
ADBE,10-Q,2018-09-26,-0.0579208216227276,ok
ADBE,10-Q,2023-03-29,-0.004219870471732223,ok
ADBE,10-Q,2023-09-27,0.023239202251330138,ok
ADBE,10-K,2023-01-17,0.09164294416376806,ok
ADBE,10-Q,2016-09-27,-0.015770244080820728,ok
ADBE,10-Q,2018-03-28,0.04403877343569218,ok
ADBE,10-K,2022-01-21,-0.12304216621998187,ok
ADBE,10-Q,2018-06-27,0.07207171579721261,ok
ADBE,10-Q,2020-06-24,-0.0031736358886951255,ok
ADBE,10-K,2021-01-15,0.07236732751002384,ok
ADBE,10-K,2019-01-25,0.06642173698780973,ok
ADBE,10-Q,2017-03-29,0.03210374751756184,ok
ADBE,10-Q,2019-09-26,-0.04520625306589776,ok
ADBE,10-Q,2024-03-27,-0.053211730100454546,ok
ADBE,10-Q,2015-09-23,0.03461987233301356,ok
ADBE,10-Q,2017-09-27,0.18657384887472817,ok
ADBE,10-Q,2020-09-23,0.02808306095730173,ok
ADBE,10-Q,2021-06-30,0.06145411743420559,ok
ADBE,10-K,2016-01-19,-0.09699485867098478,ok
ADBE,10-Q,2017-06-28,0.02030455614016402,ok
ADBE,10-Q,2020-03-25,0.12484064589005306,ok
ADBE,10-Q,2025-06-25,-0.04337504344748877,ok
ADBE,10-Q,2016-03-30,-0.0014928491306329672,ok
ADBE,10-Q,2024-06-26,0.026065959211759138,ok
ADBE,10-Q,2021-03-31,0.06935650453196018,ok
ADBE,10-K,2020-01-21,0.08274283272879468,ok
ADBE,10-K,2018-01-22,0.021482006058782144,ok
ADBE,10-K,2017-01-20,0.08057084493460498,ok
ADBE,10-K,2025-01-13,0.13282744128671964,ok
ADBE,10-Q,2021-09-29,0.10659514590381414,ok
ADBE,10-Q,2024-09-25,-0.06763859363881475,ok
ADBE,10-Q,2022-06-29,0.11294435581326323,ok
ADBE,10-Q,2022-09-28,0.13237384793157725,ok
ADBE,10-Q,2016-06-29,0.036762382065272936,ok
ADBE,10-Q,2019-03-27,0.07478842491069182,ok
ADBE,10-Q,2025-03-26,-0.07563911546355406,ok
ADBE,10-Q,2019-06-26,0.07810331011924276,ok
ADI,10-Q,2024-05-22,-0.0449336084289047,ok
ADI,10-Q,2024-02-21,0.012128649266436753,ok
ADI,10-Q,2018-02-28,0.016130268993649555,ok
ADI,10-Q,2022-08-17,-0.11815317942116599,ok
ADI,10-Q,2020-05-20,0.05466768468987726,ok
ADI,10-Q,2025-02-19,-0.14426950439432285,ok
ADI,10-Q,2016-02-17,0.10650864442377483,ok
ADI,10-Q,2021-08-18,0.0389955751940132,ok
ADI,10-Q,2023-05-24,0.0810192977519324,ok
ADI,10-K,2024-11-26,-0.005209850490484502,ok
ADI,10-Q,2024-08-21,0.0007556914532276249,ok
ADI,10-Q,2019-02-20,0.03673987805203627,ok
ADI,10-Q,2017-08-30,0.034908300071694986,ok
ADI,10-Q,2025-05-22,0.11381058216210893,ok
ADI,10-K,2015-11-24,-0.05376667031930771,ok
ADI,10-Q,2016-08-17,-0.02708411116017362,ok
